Sunday of Week,Orders per Week,Calender Week
2009-12-06,537,49
2009-12-13,511,50
2009-12-20,479,51
2009-12-27,104,52
2010-01-03,0,53
2010-01-10,197,1
2010-01-17,257,2
2010-01-24,261,3
2010-01-31,356,4
2010-02-07,276,5
2010-02-14,252,6
2010-02-21,311,7
2010-02-28,304,8
2010-03-07,363,9
2010-03-14,287,10
2010-03-21,343,11
2010-03-28,386,12
2010-04-04,302,13
2010-04-11,286,14
2010-04-18,300,15
2010-04-25,375,16
2010-05-02,412,17
2010-05-09,331,18
2010-05-16,352,19
2010-05-23,332,20
2010-05-30,396,21
2010-06-06,270,22
2010-06-13,461,23
2010-06-20,333,24
2010-06-27,319,25
2010-07-04,345,26
2010-07-11,333,27
2010-07-18,346,28
2010-07-25,331,29
2010-08-01,346,30
2010-08-08,308,31
2010-08-15,326,32
2010-08-22,326,33
2010-08-29,326,34
2010-09-05,269,35
2010-09-12,295,36
2010-09-19,371,37
2010-09-26,471,38
2010-10-03,537,39
2010-10-10,524,40
2010-10-17,542,41
2010-10-24,533,42
2010-10-31,452,43
2010-11-07,502,44
2010-11-14,635,45
2010-11-21,593,46
2010-11-28,660,47
2010-12-05,628,48
2010-12-12,504,49
2010-12-19,428,50
2010-12-26,149,51
2011-01-02,0,52
2011-01-09,228,1
2011-01-16,236,2
2011-01-23,219,3
2011-01-30,269,4
2011-02-06,270,5
2011-02-13,211,6
2011-02-20,279,7
2011-02-27,275,8
2011-03-06,265,9
2011-03-13,284,10
2011-03-20,320,11
2011-03-27,294,12
2011-04-03,343,13
2011-04-10,305,14
2011-04-17,351,15
2011-04-24,256,16
2011-05-01,201,17
2011-05-08,345,18
2011-05-15,414,19
2011-05-22,430,20
2011-05-29,328,21
2011-06-05,239,22
2011-06-12,382,23
2011-06-19,346,24
2011-06-26,313,25
2011-07-03,277,26
2011-07-10,346,27
2011-07-17,306,28
2011-07-24,346,29
2011-07-31,329,30
2011-08-07,295,31
2011-08-14,259,32
2011-08-21,295,33
2011-08-28,329,34
2011-09-04,266,35
2011-09-11,369,36
2011-09-18,349,37
2011-09-25,422,38
2011-10-02,418,39
2011-10-09,461,40
2011-10-16,419,41
2011-10-23,419,42
2011-10-30,500,43
2011-11-06,504,44
2011-11-13,598,45
2011-11-20,622,46
2011-11-27,584,47
2011-12-04,619,48
2011-12-11,477,49
